Geography,Geographic Area Name,Estimate!!Mean income (dollars)!!HOUSEHOLD INCOME!!All households
860Z200US00601,ZCTA5 00601,23091
860Z200US00602,ZCTA5 00602,28695
860Z200US00603,ZCTA5 00603,30411
860Z200US00606,ZCTA5 00606,23849
860Z200US00610,ZCTA5 00610,31356
860Z200US00611,ZCTA5 00611,32097
860Z200US00612,ZCTA5 00612,32255
860Z200US00616,ZCTA5 00616,28588
860Z200US00617,ZCTA5 00617,32602
860Z200US00622,ZCTA5 00622,33984
860Z200US00623,ZCTA5 00623,35433
860Z200US00624,ZCTA5 00624,29591
860Z200US00627,ZCTA5 00627,32776
860Z200US00631,ZCTA5 00631,22337
860Z200US00636,ZCTA5 00636,28221
860Z200US00637,ZCTA5 00637,29108
860Z200US00638,ZCTA5 00638,25318
860Z200US00641,ZCTA5 00641,24391
860Z200US00646,ZCTA5 00646,57318
860Z200US00647,ZCTA5 00647,21707
860Z200US00650,ZCTA5 00650,26768
860Z200US00652,ZCTA5 00652,34954
860Z200US00653,ZCTA5 00653,19990
860Z200US00656,ZCTA5 00656,26768
860Z200US00659,ZCTA5 00659,36733
860Z200US00660,ZCTA5 00660,34157
860Z200US00662,ZCTA5 00662,29539
860Z200US00664,ZCTA5 00664,22912
860Z200US00667,ZCTA5 00667,24049
860Z200US00669,ZCTA5 00669,25724
860Z200US00670,ZCTA5 00670,22632
860Z200US00674,ZCTA5 00674,31743
860Z200US00676,ZCTA5 00676,35587
860Z200US00677,ZCTA5 00677,37882
860Z200US00678,ZCTA5 00678,26252
860Z200US00680,ZCTA5 00680,27953
860Z200US00682,ZCTA5 00682,35470
860Z200US00683,ZCTA5 00683,26729
860Z200US00685,ZCTA5 00685,27038
860Z200US00687,ZCTA5 00687,31572
860Z200US00688,ZCTA5 00688,29726
860Z200US00690,ZCTA5 00690,32943
860Z200US00692,ZCTA5 00692,43294
860Z200US00693,ZCTA5 00693,37377
860Z200US00694,ZCTA5 00694,73069
860Z200US00698,ZCTA5 00698,28956
860Z200US00703,ZCTA5 00703,33197
860Z200US00704,ZCTA5 00704,26944
860Z200US00705,ZCTA5 00705,32260
860Z200US00707,ZCTA5 00707,26567
860Z200US00714,ZCTA5 00714,30953
860Z200US00715,ZCTA5 00715,22082
860Z200US00716,ZCTA5 00716,38880
860Z200US00717,ZCTA5 00717,24963
860Z200US00718,ZCTA5 00718,26089
860Z200US00719,ZCTA5 00719,30605
860Z200US00720,ZCTA5 00720,25763
860Z200US00723,ZCTA5 00723,27387
860Z200US00725,ZCTA5 00725,40705
860Z200US00727,ZCTA5 00727,55260
860Z200US00728,ZCTA5 00728,33079
860Z200US00729,ZCTA5 00729,42856
860Z200US00730,ZCTA5 00730,28575
860Z200US00731,ZCTA5 00731,28482
860Z200US00735,ZCTA5 00735,33533
860Z200US00736,ZCTA5 00736,39150
860Z200US00738,ZCTA5 00738,35797
860Z200US00739,ZCTA5 00739,36525
860Z200US00740,ZCTA5 00740,22935
860Z200US00741,ZCTA5 00741,30941
860Z200US00745,ZCTA5 00745,35912
860Z200US00751,ZCTA5 00751,27478
860Z200US00754,ZCTA5 00754,29468
860Z200US00757,ZCTA5 00757,34137
860Z200US00765,ZCTA5 00765,21821
860Z200US00766,ZCTA5 00766,33056
860Z200US00767,ZCTA5 00767,27394
860Z200US00769,ZCTA5 00769,29922
860Z200US00771,ZCTA5 00771,35618
860Z200US00772,ZCTA5 00772,24819
860Z200US00773,ZCTA5 00773,31745
860Z200US00775,ZCTA5 00775,35542
860Z200US00777,ZCTA5 00777,34967
860Z200US00778,ZCTA5 00778,65490
860Z200US00780,ZCTA5 00780,39261
860Z200US00782,ZCTA5 00782,24034
860Z200US00783,ZCTA5 00783,30952
860Z200US00784,ZCTA5 00784,29403
860Z200US00786,ZCTA5 00786,N
860Z200US00791,ZCTA5 00791,39167
860Z200US00794,ZCTA5 00794,30230
860Z200US00795,ZCTA5 00795,31246
860Z200US00901,ZCTA5 00901,78916
860Z200US00906,ZCTA5 00906,111447
860Z200US00907,ZCTA5 00907,89703
860Z200US00909,ZCTA5 00909,46994
860Z200US00911,ZCTA5 00911,83261
860Z200US00912,ZCTA5 00912,49452
860Z200US00913,ZCTA5 00913,36582
860Z200US00915,ZCTA5 00915,21926
860Z200US00917,ZCTA5 00917,31178
860Z200US00918,ZCTA5 00918,63655
860Z200US00920,ZCTA5 00920,42671
860Z200US00921,ZCTA5 00921,33529
860Z200US00923,ZCTA5 00923,28798
860Z200US00924,ZCTA5 00924,33516
860Z200US00925,ZCTA5 00925,25811
860Z200US00926,ZCTA5 00926,61833
860Z200US00927,ZCTA5 00927,68617
860Z200US00934,ZCTA5 00934,N
860Z200US00949,ZCTA5 00949,42407
860Z200US00950,ZCTA5 00950,-
860Z200US00951,ZCTA5 00951,26080
860Z200US00952,ZCTA5 00952,26659
860Z200US00953,ZCTA5 00953,45626
860Z200US00956,ZCTA5 00956,37883
860Z200US00957,ZCTA5 00957,37756
860Z200US00959,ZCTA5 00959,42867
860Z200US00960,ZCTA5 00960,-
860Z200US00961,ZCTA5 00961,50043
860Z200US00962,ZCTA5 00962,26457
860Z200US00965,ZCTA5 00965,23988
860Z200US00966,ZCTA5 00966,87665
860Z200US00968,ZCTA5 00968,89447
860Z200US00969,ZCTA5 00969,86027
860Z200US00971,ZCTA5 00971,46456
860Z200US00976,ZCTA5 00976,49195
860Z200US00979,ZCTA5 00979,58779
860Z200US00982,ZCTA5 00982,31811
860Z200US00983,ZCTA5 00983,42060
860Z200US00985,ZCTA5 00985,39862
860Z200US00987,ZCTA5 00987,49325
860Z200US01001,ZCTA5 01001,96621
860Z200US01002,ZCTA5 01002,111002
860Z200US01003,ZCTA5 01003,205737
860Z200US01005,ZCTA5 01005,104738
860Z200US01007,ZCTA5 01007,113793
860Z200US01008,ZCTA5 01008,103880
860Z200US01009,ZCTA5 01009,77980
