Geography,Geographic Area Name,Estimate!!Total!!HOUSEHOLDS!!Total households
860Z200US00601,ZCTA5 00601,5341
860Z200US00602,ZCTA5 00602,12777
860Z200US00603,ZCTA5 00603,19624
860Z200US00606,ZCTA5 00606,1948
860Z200US00610,ZCTA5 00610,8781
860Z200US00611,ZCTA5 00611,523
860Z200US00612,ZCTA5 00612,23286
860Z200US00616,ZCTA5 00616,3150
860Z200US00617,ZCTA5 00617,8234
860Z200US00622,ZCTA5 00622,2996
860Z200US00623,ZCTA5 00623,14572
860Z200US00624,ZCTA5 00624,7344
860Z200US00627,ZCTA5 00627,11585
860Z200US00631,ZCTA5 00631,480
860Z200US00636,ZCTA5 00636,262
860Z200US00637,ZCTA5 00637,7265
860Z200US00638,ZCTA5 00638,5814
860Z200US00641,ZCTA5 00641,8854
860Z200US00646,ZCTA5 00646,12006
860Z200US00647,ZCTA5 00647,1844
860Z200US00650,ZCTA5 00650,5245
860Z200US00652,ZCTA5 00652,1412
860Z200US00653,ZCTA5 00653,3627
860Z200US00656,ZCTA5 00656,6429
860Z200US00659,ZCTA5 00659,13061
860Z200US00660,ZCTA5 00660,6084
860Z200US00662,ZCTA5 00662,14067
860Z200US00664,ZCTA5 00664,5056
860Z200US00667,ZCTA5 00667,8259
860Z200US00669,ZCTA5 00669,9997
860Z200US00670,ZCTA5 00670,2702
860Z200US00674,ZCTA5 00674,14691
860Z200US00676,ZCTA5 00676,12956
860Z200US00677,ZCTA5 00677,5741
860Z200US00678,ZCTA5 00678,9059
860Z200US00680,ZCTA5 00680,17577
860Z200US00682,ZCTA5 00682,12077
860Z200US00683,ZCTA5 00683,10904
860Z200US00685,ZCTA5 00685,14312
860Z200US00687,ZCTA5 00687,9810
860Z200US00688,ZCTA5 00688,3950
860Z200US00690,ZCTA5 00690,2063
860Z200US00692,ZCTA5 00692,11968
860Z200US00693,ZCTA5 00693,20435
860Z200US00694,ZCTA5 00694,52
860Z200US00698,ZCTA5 00698,12264
860Z200US00703,ZCTA5 00703,8993
860Z200US00704,ZCTA5 00704,2443
860Z200US00705,ZCTA5 00705,8909
860Z200US00707,ZCTA5 00707,3904
860Z200US00714,ZCTA5 00714,6246
860Z200US00715,ZCTA5 00715,780
860Z200US00716,ZCTA5 00716,11547
860Z200US00717,ZCTA5 00717,6678
860Z200US00718,ZCTA5 00718,8138
860Z200US00719,ZCTA5 00719,8692
860Z200US00720,ZCTA5 00720,6514
860Z200US00723,ZCTA5 00723,6222
860Z200US00725,ZCTA5 00725,30818
860Z200US00727,ZCTA5 00727,20011
860Z200US00728,ZCTA5 00728,13069
860Z200US00729,ZCTA5 00729,16661
860Z200US00730,ZCTA5 00730,12950
860Z200US00731,ZCTA5 00731,3924
860Z200US00735,ZCTA5 00735,4234
860Z200US00736,ZCTA5 00736,17707
860Z200US00738,ZCTA5 00738,11898
860Z200US00739,ZCTA5 00739,12418
860Z200US00740,ZCTA5 00740,718
860Z200US00741,ZCTA5 00741,1338
860Z200US00745,ZCTA5 00745,16232
860Z200US00751,ZCTA5 00751,7550
860Z200US00754,ZCTA5 00754,13364
860Z200US00757,ZCTA5 00757,7182
860Z200US00765,ZCTA5 00765,2608
860Z200US00766,ZCTA5 00766,7808
860Z200US00767,ZCTA5 00767,11808
860Z200US00769,ZCTA5 00769,12770
860Z200US00771,ZCTA5 00771,12150
860Z200US00772,ZCTA5 00772,6408
860Z200US00773,ZCTA5 00773,6800
860Z200US00775,ZCTA5 00775,447
860Z200US00777,ZCTA5 00777,13415
860Z200US00778,ZCTA5 00778,14840
860Z200US00780,ZCTA5 00780,4779
860Z200US00782,ZCTA5 00782,5239
860Z200US00783,ZCTA5 00783,10736
860Z200US00784,ZCTA5 00784,14239
860Z200US00786,ZCTA5 00786,86
860Z200US00791,ZCTA5 00791,16741
860Z200US00794,ZCTA5 00794,8964
860Z200US00795,ZCTA5 00795,14607
860Z200US00901,ZCTA5 00901,3302
860Z200US00906,ZCTA5 00906,78
860Z200US00907,ZCTA5 00907,8521
860Z200US00909,ZCTA5 00909,2500
860Z200US00911,ZCTA5 00911,3724
860Z200US00912,ZCTA5 00912,2800
860Z200US00913,ZCTA5 00913,3090
860Z200US00915,ZCTA5 00915,10638
860Z200US00917,ZCTA5 00917,8211
860Z200US00918,ZCTA5 00918,7980
860Z200US00920,ZCTA5 00920,7117
860Z200US00921,ZCTA5 00921,13998
860Z200US00923,ZCTA5 00923,10487
860Z200US00924,ZCTA5 00924,19698
860Z200US00925,ZCTA5 00925,2763
860Z200US00926,ZCTA5 00926,36983
860Z200US00927,ZCTA5 00927,6265
860Z200US00934,ZCTA5 00934,28
860Z200US00949,ZCTA5 00949,25533
860Z200US00950,ZCTA5 00950,0
860Z200US00951,ZCTA5 00951,123
860Z200US00952,ZCTA5 00952,3138
860Z200US00953,ZCTA5 00953,22376
860Z200US00956,ZCTA5 00956,24889
860Z200US00957,ZCTA5 00957,15345
860Z200US00959,ZCTA5 00959,18030
860Z200US00960,ZCTA5 00960,0
860Z200US00961,ZCTA5 00961,11572
