RegionID,SizeRank,RegionName,RegionType,State,City,Metro,month,ZHVI
67182,80,22193,zip,VA,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,382710.0433863839
67732,140,23464,zip,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",2021-01-31,298449.4203117538
67180,165,22191,zip,VA,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,368261.76136963005
66126,174,20002,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,671416.0852764029
66705,199,20906,zip,MD,Silver Spring,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,380993.0775086062
66843,268,21234,zip,MD,Parkville,"Baltimore-Columbia-Towson, MD",2021-01-31,233071.51889805496
67730,275,23462,zip,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",2021-01-31,235344.48871219475
66135,277,20011,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,640394.5570248602
67010,321,21740,zip,MD,Hagerstown,"Hagerstown-Martinsburg, MD-WV",2021-01-31,200356.87972667083
66683,322,20878,zip,MD,Gaithersburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,577261.0059153904
67657,325,23322,zip,VA,Chesapeake,"Virginia Beach-Norfolk-Newport News, VA-NC",2021-01-31,390400.8030854534
66142,347,20019,zip,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,379305.9303444512
67247,380,22407,zip,VA,Fredericksburg,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,329738.9504158648
67724,390,23456,zip,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",2021-01-31,398976.8733375398
66679,395,20874,zip,MD,Germantown,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,340238.3643653113
66785,409,21117,zip,MD,Owings Mills,"Baltimore-Columbia-Towson, MD",2021-01-31,297197.5155134716
66242,451,20147,zip,VA,Ashburn,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2021-01-31,561169.4371463006
