Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
1999,FL,Florida,Colorectal Cancer Screening,Sigmoidoscopy,Adults aged 50+ who have ever had a sigmoidoscopy or colonoscopy (variable calculated from one or more BRFSS questions),No,Hispanic,Race/Ethnicity,143,70.6,63.4,77.8,1790,%,Crude Prevalence,,,BRFSS,CLASS04,Topic52,12,RACE3,CAT4,_RFSIGMD,RESP054,"(28.932040377, -81.928960539)"
2001,MT,Montana,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,Some post-H.S.,Education Attained,153,17.5,14.1,20.9,194,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,30,EDUCA3,CAT5,HLTHPLAN,RESP054,"(47.066528972, -109.424420645)"
2000,AK,Alaska,Health Care Access/Coverage,Health Care Coverage,Do you have any kind of health care coverage?,No,"White, non-Hispanic",Race/Ethnicity,232,15.4,12.6,18.2,175,%,Crude Prevalence,,,BRFSS,CLASS07,Topic29,2,RACE1,CAT4,HLTHPLAN,RESP054,"(64.845079957001, -147.722059036)"
2010,NH,New Hampshire,Demographics,Age,What is your age?,25-34 years,H.S. or G.E.D.,Education Attained,85,13.1,10.2,16.0,1120,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,33,EDUCA2,CAT5,AGE,RESP011,"(43.655950113, -71.50036092)"
2005,MN,Minnesota,Health Status,Overall Health,How is your general health?,Fair,H.S. or G.E.D.,Education Attained,110,12.7,10.0,15.4,83,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,27,EDUCA2,CAT5,GENHLTH,RESP059,"(46.355648736, -94.794200503)"
1999,SD,South Dakota,Immunization,Pneumonia Vaccination,Adults aged 65+ who have ever had a pneumonia vaccination (variable calculated from one or more BRFSS questions),No,"$25,000-$34,999",Household Income,71,53.0,44.2,61.8,1899,%,Crude Prevalence,,,BRFSS,CLASS11,Topic46,46,INCOME3,CAT6,_PNEUMOC,RESP054,"(44.353130053, -100.373530637)"
2002,NC,North Carolina,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,45-54,Age Group,380,28.9,25.3,32.5,267,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,37,AGE04,CAT3,_TOTINDA,RESP054,"(35.466220975, -79.159250463)"
1999,WV,West Virginia,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"White, non-Hispanic",Race/Ethnicity,872,37.6,35.4,39.8,1595,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,54,RACE1,CAT4,_BMI2CAT,RESP040,"(38.665510202, -80.712640135)"
2004,AR,Arkansas,Demographics,Race,What is your race/ethnicity?,MultiRacial,55-64,Age Group,20,2.5,1.3,3.7,1005,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,5,AGE05,CAT3,RACE,RESP008,"(34.748650124, -92.274490743)"
2006,MA,Massachusetts,Demographics,Income,What is your annual household income?,"$50,000+","$50,000+",Household Income,5010,100.0,100.0,100.0,1584,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,25,INCOME5,CAT6,INCOME,RESP020,"(42.27687047, -72.082690675)"
