date,state,fips,cases,deaths,state_abbr
2020-01-21,Washington,53,1,0,WA
2020-01-22,Washington,53,1,0,WA
2020-01-23,Washington,53,1,0,WA
2020-01-24,Washington,53,1,0,WA
2020-01-25,Washington,53,1,0,WA
2020-01-26,Washington,53,1,0,WA
2020-01-27,Washington,53,1,0,WA
2020-01-28,Washington,53,1,0,WA
2020-01-29,Washington,53,1,0,WA
2020-01-30,Washington,53,1,0,WA
2020-01-31,Washington,53,1,0,WA
2020-02-01,Washington,53,1,0,WA
2020-02-02,Washington,53,1,0,WA
2020-02-03,Washington,53,1,0,WA
2020-02-04,Washington,53,1,0,WA
2020-02-05,Washington,53,1,0,WA
2020-02-06,Washington,53,1,0,WA
2020-02-07,Washington,53,1,0,WA
2020-02-08,Washington,53,1,0,WA
2020-02-09,Washington,53,1,0,WA
2020-02-10,Washington,53,1,0,WA
2020-02-11,Washington,53,1,0,WA
2020-02-12,Washington,53,1,0,WA
2020-02-13,Washington,53,1,0,WA
2020-02-14,Washington,53,1,0,WA
2020-02-15,Washington,53,1,0,WA
2020-02-16,Washington,53,1,0,WA
2020-02-17,Washington,53,1,0,WA
2020-02-18,Washington,53,1,0,WA
2020-02-19,Washington,53,1,0,WA
2020-02-20,Washington,53,1,0,WA
2020-02-21,Washington,53,1,0,WA
2020-02-22,Washington,53,1,0,WA
2020-02-23,Washington,53,1,0,WA
2020-02-24,Washington,53,5,0,WA
2020-02-25,Washington,53,5,0,WA
2020-02-26,Washington,53,5,0,WA
2020-02-27,Washington,53,5,0,WA
2020-02-28,Washington,53,7,0,WA
2020-02-29,Washington,53,10,1,WA
2020-03-01,Washington,53,17,3,WA
2020-03-02,Washington,53,23,6,WA
2020-03-03,Washington,53,32,10,WA
2020-03-04,Washington,53,47,11,WA
2020-03-05,Washington,53,75,11,WA
2020-03-06,Washington,53,86,12,WA
2020-03-07,Washington,53,110,16,WA
2020-03-08,Washington,53,141,19,WA
2020-03-09,Washington,53,179,22,WA
2020-03-10,Washington,53,279,24,WA
2020-03-11,Washington,53,338,29,WA
2020-03-12,Washington,53,419,32,WA
2020-03-13,Washington,53,511,37,WA
2020-03-14,Washington,53,609,40,WA
2020-03-15,Washington,53,675,42,WA
2020-03-16,Washington,53,794,48,WA
2020-03-17,Washington,53,908,54,WA
2020-03-18,Washington,53,1026,68,WA
2020-03-19,Washington,53,1228,75,WA
2020-03-20,Washington,53,1404,83,WA
2020-03-21,Washington,53,1655,95,WA
2020-03-22,Washington,53,1844,97,WA
2020-03-23,Washington,53,2101,110,WA
2020-03-24,Washington,53,2469,123,WA
2020-03-25,Washington,53,2585,130,WA
2020-03-26,Washington,53,3208,152,WA
2020-03-27,Washington,53,3770,179,WA
2020-03-28,Washington,53,4311,193,WA
2020-03-29,Washington,53,4897,209,WA
2020-03-30,Washington,53,5180,221,WA
2020-03-31,Washington,53,5293,226,WA
2020-04-01,Washington,53,5589,250,WA
2020-04-02,Washington,53,6586,272,WA
2020-04-03,Washington,53,6967,293,WA
2020-04-04,Washington,53,7499,318,WA
2020-04-05,Washington,53,7985,344,WA
2020-04-06,Washington,53,8385,383,WA
2020-04-07,Washington,53,8683,409,WA
2020-04-08,Washington,53,9098,430,WA
2020-04-09,Washington,53,9609,456,WA
2020-04-10,Washington,53,9888,483,WA
2020-04-11,Washington,53,10227,498,WA
2020-04-12,Washington,53,10414,511,WA
2020-04-13,Washington,53,10547,525,WA
2020-04-14,Washington,53,10711,552,WA
2020-04-15,Washington,53,10806,572,WA
2020-04-16,Washington,53,11180,588,WA
2020-04-17,Washington,53,11479,610,WA
2020-04-18,Washington,53,11850,629,WA
2020-04-19,Washington,53,11864,637,WA
2020-04-20,Washington,53,12255,661,WA
2020-04-21,Washington,53,12410,683,WA
2020-04-22,Washington,53,12606,696,WA
2020-04-23,Washington,53,12981,717,WA
2020-04-24,Washington,53,13197,731,WA
2020-04-25,Washington,53,13565,743,WA
2020-04-26,Washington,53,13744,757,WA
2020-04-27,Washington,53,13958,771,WA
2020-04-28,Washington,53,14165,792,WA
2020-04-29,Washington,53,14490,805,WA
2020-04-30,Washington,53,14814,822,WA
2020-05-01,Washington,53,15134,829,WA
2020-05-02,Washington,53,15383,833,WA
2020-05-03,Washington,53,15943,840,WA
2020-05-04,Washington,53,16047,846,WA
2020-05-05,Washington,53,16234,863,WA
2020-05-06,Washington,53,16873,881,WA
2020-05-07,Washington,53,17187,903,WA
2020-05-08,Washington,53,17477,915,WA
2020-05-09,Washington,53,17629,925,WA
2020-05-10,Washington,53,17781,939,WA
2020-05-11,Washington,53,18172,957,WA
2020-05-12,Washington,53,18382,972,WA
2020-05-13,Washington,53,18492,977,WA
2020-05-14,Washington,53,18861,991,WA
2020-05-15,Washington,53,19131,1008,WA
2020-05-16,Washington,53,19336,1015,WA
2020-05-17,Washington,53,19514,1016,WA
2020-05-18,Washington,53,19756,1020,WA
2020-05-19,Washington,53,19988,1042,WA
2020-05-20,Washington,53,20110,1045,WA
2020-05-21,Washington,53,20280,1054,WA
2020-05-22,Washington,53,20526,1061,WA
2020-05-23,Washington,53,20740,1062,WA
2020-05-24,Washington,53,20989,1069,WA
2020-05-25,Washington,53,21265,1076,WA
2020-05-26,Washington,53,21538,1091,WA
2020-05-27,Washington,53,21825,1106,WA
2020-05-28,Washington,53,22091,1116,WA
