BIGDATA: IA: Collaborative Research: Intelligent Solutions for Navigating Big Data from the Arctic and Antarctic Award Number:1947584; Principal Investigator:Maryam Rahnemoonfar; Co-Principal Investigator:; Organization:University of Maryland Baltimore County;NSF Organization:IIS Start Date:09/01/2019; Award Amount:$589,294.00; Relevance:48.0;
HDR DSC: Collaborative Research: Creating and Integrating Data Science Corps to Improve the Quality of Life in Urban Areas Award Number:1923986; Principal Investigator:Sharad Sharma; Co-Principal Investigator:; Organization:Bowie State University;NSF Organization:IIS Start Date:10/01/2019; Award Amount:$180,000.00; Relevance:48.0;
Collaborative Research: Atomic Level Structural Dynamics in Catalysts Award Number:1940272; Principal Investigator:Qiang Zhu; Co-Principal Investigator:; Organization:University of Nevada Las Vegas;NSF Organization:OAC Start Date:10/01/2019; Award Amount:$325,000.00; Relevance:48.0;
HDR TRIPODS: Innovations in Data Science: Integrating Stochastic Modeling, Data Representations, and Algorithms Award Number:1934964; Principal Investigator:Sayan Mukherjee; Co-Principal Investigator:Cynthia Rudin, Arthur Calderbank, Jianfeng Lu, Rong Ge; Organization:Duke University;NSF Organization:CCF Start Date:10/01/2019; Award Amount:$500,000.00; Relevance:48.0;
HDR DSC: Collaborative Research: The Data Science WAV: Experiential Learning with Local Community Organizations Award Number:1922851; Principal Investigator:Ebenezer Afarikumah; Co-Principal Investigator:; Organization:Greenfield Community College;NSF Organization:IIS Start Date:10/01/2019; Award Amount:$13,989.00; Relevance:48.0;
Collaborative Research: Physics-Based Machine Learning for Sub-Seasonal Climate Forecasting Award Number:1934584; Principal Investigator:Pradeep Ravikumar; Co-Principal Investigator:; Organization:Carnegie-Mellon University;NSF Organization:OAC Start Date:09/01/2019; Award Amount:$297,347.00; Relevance:48.0;
Collaborative Research: Framework for Integrative Data Equity Systems Award Number:1934405; Principal Investigator:Bill Howe; Co-Principal Investigator:; Organization:University of Washington;NSF Organization:OAC Start Date:09/01/2019; Award Amount:$656,000.00; Relevance:48.0;
Collaborative Research: Integrating Physics and Generative Machine Learning Models for Inverse Materials Design Award Number:1940243; Principal Investigator:Michael Lawler; Co-Principal Investigator:; Organization:SUNY at Binghamton;NSF Organization:OAC Start Date:10/01/2019; Award Amount:$338,320.00; Relevance:48.0;
HDR TRIPODS: Penn Institute for Foundations of Data Science Award Number:1934876; Principal Investigator:Shivani Agarwal; Co-Principal Investigator:Sanjeev Khanna, AARON ROTH, Weijie Su, Hamed Hassani; Organization:University of Pennsylvania;NSF Organization:CCF Start Date:10/01/2019; Award Amount:$860,136.00; Relevance:48.0;
HDR TRIPODS: Collaborative Research: Institute for Data, Econometrics, Algorithms and Learning Award Number:1934843; Principal Investigator:Nathan Srebro; Co-Principal Investigator:Yury Makarychev; Organization:Toyota Technological Institute at Chicago;NSF Organization:CCF Start Date:09/15/2019; Award Amount:$377,974.00; Relevance:48.0;
HDR TRIPODS: Collaborative Research: Institute for Data, Econometrics, Algorithms and Learning Award Number:1934813; Principal Investigator:Chao Gao; Co-Principal Investigator:Varun Gupta; Organization:University of Chicago;NSF Organization:CCF Start Date:09/15/2019; Award Amount:$154,569.00; Relevance:48.0;
