continent,country,gdpPercap_1952,gdpPercap_1957,gdpPercap_1962,gdpPercap_1967,gdpPercap_1972,gdpPercap_1977,gdpPercap_1982,gdpPercap_1987,gdpPercap_1992,gdpPercap_1997,gdpPercap_2002,gdpPercap_2007,lifeExp_1952,lifeExp_1957,lifeExp_1962,lifeExp_1967,lifeExp_1972,lifeExp_1977,lifeExp_1982,lifeExp_1987,lifeExp_1992,lifeExp_1997,lifeExp_2002,lifeExp_2007,pop_1952,pop_1957,pop_1962,pop_1967,pop_1972,pop_1977,pop_1982,pop_1987,pop_1992,pop_1997,pop_2002,pop_2007
Africa,Algeria,2449.008185,3013.976023,2550.81688,3246.991771,4182.663766,4910.4167560000005,5745.160213,5681.358539,5023.216647,4797.295051,5288.040382,6223.367465,43.077,45.685,48.303000000000004,51.407,54.518,58.013999999999996,61.368,65.79899999999999,67.744,69.152,70.994,72.301,9279525,10270856,11000948,12760499,14760787,17152804,20033753,23254956,26298373,29072015,31287142,33333216
Africa,Angola,3520.610273,3827.9404649999997,4269.276742,5522.776375,5473.288004999999,3008.647355,2756.953672,2430.208311,2627.8456850000002,2277.140884,2773.287312,4797.231267,30.015,31.999000000000002,34.0,35.985,37.928000000000004,39.483000000000004,39.942,39.906,40.647,40.963,41.003,42.731,4232095,4561361,4826015,5247469,5894858,6162675,7016384,7874230,8735988,9875024,10866106,12420476
Africa,Benin,1062.7522,959.6010805,949.4990641,1035.831411,1085.796879,1029.161251,1277.897616,1225.85601,1191.207681,1232.975292,1372.877931,1441.284873,38.223,40.358000000000004,42.618,44.885,47.013999999999996,49.19,50.903999999999996,52.336999999999996,53.919,54.777,54.406000000000006,56.728,1738315,1925173,2151895,2427334,2761407,3168267,3641603,4243788,4981671,6066080,7026113,8078314
Africa,Botswana,851.2411407,918.2325348999999,983.6539764,1214.709294,2263.6111140000003,3214.857818,4551.14215,6205.88385,7954.111645,8647.142313,11003.60508,12569.851770000001,47.622,49.618,51.52,53.298,56.023999999999994,59.318999999999996,61.483999999999995,63.622,62.745,52.556000000000004,46.63399999999999,50.728,442308,474639,512764,553541,619351,781472,970347,1151184,1342614,1536536,1630347,1639131
Africa,Burkina Faso,543.2552413,617.1834647999999,722.5120206,794.8265597,854.7359763000001,743.3870368,807.1985855,912.0631417000001,931.7527731,946.2949617999999,1037.645221,1217.032994,31.975,34.906,37.814,40.696999999999996,43.591,46.137,48.122,49.556999999999995,50.26,50.324,50.65,52.295,4469979,4713416,4919632,5127935,5433886,5889574,6634596,7586551,8878303,10352843,12251209,14326203
Africa,Burundi,339.29645869999996,379.56462810000005,355.2032273,412.97751360000007,464.0995039,556.1032651,559.6032309999999,621.8188188999999,631.6998778,463.1151478,446.4035126,430.07069160000003,39.031,40.533,42.045,43.548,44.056999999999995,45.91,47.471000000000004,48.211000000000006,44.736000000000004,45.326,47.36,49.58,2445618,2667518,2961915,3330989,3529983,3834415,4580410,5126023,5809236,6121610,7021078,8390505
Africa,Cameroon,1172.667655,1313.048099,1399.607441,1508.453148,1684.1465280000002,1783.432873,2367.983282,2602.664206,1793.1632780000002,1694.337469,1934.0114489999999,2042.0952399999999,38.523,40.428000000000004,42.643,44.799,47.049,49.355,52.961000000000006,54.985,54.31399999999999,52.199,49.856,50.43,5009067,5359923,5793633,6335506,7021028,7959865,9250831,10780667,12467171,14195809,15929988,17696293
Africa,Central African Republic,1071.310713,1190.844328,1193.068753,1136.056615,1070.013275,1109.374338,956.7529906999999,844.8763504000001,747.9055252,740.5063317,738.6906068,706.016537,35.463,37.464,39.475,41.478,43.457,46.775,48.295,50.485,49.396,46.066,43.308,44.74100000000001,1291695,1392284,1523478,1733638,1927260,2167533,2476971,2840009,3265124,3696513,4048013,4369038
Africa,Chad,1178.665927,1308.495577,1389.817618,1196.810565,1104.103987,1133.98495,797.9081006,952.3861289999999,1058.0643,1004.9613529999999,1156.18186,1704.0637239999999,38.092,39.881,41.716,43.601000000000006,45.568999999999996,47.383,49.516999999999996,51.051,51.724,51.573,50.525,50.651,2682462,2894855,3150417,3495967,3899068,4388260,4875118,5498955,6429417,7562011,8835739,10238807
Africa,Comoros,1102.990936,1211.1485480000001,1406.648278,1876.029643,1937.577675,1172.603047,1267.100083,1315.980812,1246.90737,1173.618235,1075.811558,986.1478792000001,40.715,42.46,44.467,46.472,48.943999999999996,50.93899999999999,52.933,54.926,57.93899999999999,60.66,62.974,65.152,153936,170928,191689,217378,250027,304739,348643,395114,454429,527982,614382,710960
