Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01 00:00:00,0.575486914279,1.71852823902,0.0,1.68233306373,0.0,0.0291925951732,0.0291925951732,0.0291925951732,0.0590036798269,0.010600609839000002,0.0389770129118,0.311572063332,0.115610953196
 01/01 01:00:00,0.47524557650300003,1.8971110780000002,0.0,1.86261265037,0.0,0.0323208871293,0.0323208871293,0.0323208871293,0.034418825948699994,0.00618369135735,0.03660380930519999,0.286875798904,0.06831256385840001
 01/01 02:00:00,0.44976576592399997,2.03243598592,0.0,2.00557090158,0.0,0.0348015625938,0.0348015625938,0.0348015625938,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.057344256641800005
 01/01 03:00:00,0.450166722361,2.11031345348,0.0,2.08372259098,0.0,0.036157685635099995,0.036157685635099995,0.036157685635099995,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.06164190346969999
 01/01 04:00:00,0.47955399148999994,2.17616214125,0.0,2.14289199896,0.0,0.0371844196457,0.0371844196457,0.0371844196457,0.0245848691378,0.00441692122316,0.033830482961599996,0.268998031726,0.100009266796
 01/01 05:00:00,0.684462502432,2.15133493126,0.0,2.1085385233099996,0.0,0.0365883027834,0.0365883027834,0.0365883027834,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116994541
 01/01 06:00:00,1.0935267768,2.0237106867400003,0.0,1.9481109282,0.0,0.0338044914563,0.0338044914563,0.0338044914563,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273865
 01/01 07:00:00,1.29181142727,2.54900280323,0.0,2.43492967313,0.0,0.042251987882400005,0.042251987882400005,0.042251987882400005,0.11554888952600001,0.0207595305713,0.0522011846794,0.36853146108499996,0.666988373523
 01/01 08:00:00,1.1732019836499998,2.1332251070500003,0.0,2.01568144367,0.0,0.034977005238699996,0.034977005238699996,0.034977005238699996,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01 09:00:00,0.983968631687,2.11298484691,0.0,1.9941735668599998,0.0,0.0346037909482,0.0346037909482,0.0346037909482,0.0565452096987,0.0101589207324,0.06376572543190001,0.265173021074,0.543191963802
