"","country","year","expenditure per student"
"1","Afghanistan",1998,"X"
"2","Albania",1998,"X"
"3","Algeria",1998,"X"
"4","American Samoa",1998,"X"
"5","Andorra",1998,"X"
"6","Angola",1998,"X"
"7","Antigua and Barbuda",1998,"X"
"8","Argentina",1998,"20.215079099388401"
"9","Armenia",1998,"X"
"10","Aruba",1998,"X"
"11","Australia",1998,"27.548436534342301"
"12","Austria",1998,"X"
"13","Azerbaijan",1998,"X"
"14","Bahamas",1998,"X"
"15","Bahrain",1998,"X"
"16","Bangladesh",1998,"X"
"17","Barbados",1998,"X"
"18","Belarus",1998,"X"
"19","Belgium",1998,"X"
"20","Belize",1998,"X"
"21","Benin",1998,"X"
"22","Bermuda",1998,"X"
"23","Bhutan",1998,"X"
"24","Bolivia",1998,"52.226450813741003"
"25","Bosnia and Herzegovina",1998,"X"
"26","Botswana",1998,"X"
"27","Brazil",1998,"80.125043028610094"
"28","Brunei",1998,"X"
"29","Bulgaria",1998,"X"
"30","Burkina Faso",1998,"X"
"31","Burundi",1998,"X"
"32","Cambodia",1998,"X"
"33","Cameroon",1998,"X"
"34","Canada",1998,"43.996796250421298"
"35","Cape Verde",1998,"X"
"36","Cayman Islands",1998,"X"
"37","Central African Rep.",1998,"X"
"38","Chad",1998,"X"
"39","Channel Islands",1998,"X"
"40","Chile",1998,"20.969753317759899"
"41","China",1998,"X"
"42","Colombia",1998,"33.691224079423499"
"43","Comoros",1998,"X"
"44","Congo, Dem. Rep.",1998,"X"
"45","Congo, Rep.",1998,"X"
"46","Costa Rica",1998,"X"
"47","Cote d'Ivoire",1998,"X"
"48","Croatia",1998,"X"
"49","Cuba",1998,"116.264742289693"
"50","Cyprus",1998,"X"
"51","Czech Rep.",1998,"X"
"52","Denmark",1998,"X"
"53","Djibouti",1998,"X"
"54","Dominica",1998,"X"
"55","Dominican Rep.",1998,"X"
"56","Ecuador",1998,"X"
"57","Egypt",1998,"X"
"58","El Salvador",1998,"10.213226661271101"
"59","Equatorial Guinea",1998,"X"
"60","Eritrea",1998,"X"
"61","Estonia",1998,"X"
"62","Ethiopia",1998,"X"
"63","Faeroe Islands",1998,"X"
"64","Fiji",1998,"X"
"65","Finland",1998,"X"
"66","France",1998,"X"
"67","French Polynesia",1998,"X"
"68","Gabon",1998,"X"
"69","Gambia",1998,"X"
"70","Georgia",1998,"X"
"71","Germany",1998,"X"
"72","Ghana",1998,"X"
"73","Gibraltar",1998,"X"
"74","Greece",1998,"27.453596414688999"
"75","Greenland",1998,"X"
"76","Grenada",1998,"X"
"77","Guam",1998,"X"
"78","Guatemala",1998,"X"
"79","Guinea",1998,"X"
"80","Guinea-Bissau",1998,"X"
"81","Guyana",1998,"X"
"82","Haiti",1998,"X"
"83","Honduras",1998,"X"
"84","Hong Kong, China",1998,"X"
"85","Hungary",1998,"35.986558063525898"
"86","Iceland",1998,"X"
"87","India",1998,"X"
"88","Indonesia",1998,"X"
"89","Iran",1998,"X"
"90","Iraq",1998,"X"
"91","Ireland",1998,"29.043905351181401"
"92","Isle of Man",1998,"X"
"93","Israel",1998,"X"
