id,intervention,sex,age,educ,income
1,4,2,35,5,3
2,1,1,59,1,1
3,4,1,51,4,3
4,3,1,50,5,2
5,2,2,58,5,2
6,1,1,31,5,1
7,3,1,44,5,2
8,2,1,57,4,2
9,1,1,36,4,3
10,2,1,45,4,3
11,2,1,56,5,1
12,2,1,46,4,3
13,4,1,34,5,3
14,4,1,41,1,2
15,4,2,27,2,2
16,4,1,31,1,1
17,3,1,44,4,2
18,2,1,40,5,2
19,1,1,37,3,1
20,3,1,21,4,1
21,3,1,42,4,2
22,4,1,29,4,2
23,1,1,22,4,1
24,3,1,51,4,3
25,3,1,46,4,3
26,4,1,35,5,3
27,4,1,34,4,3
28,1,1,62,4,1
29,2,1,45,1,2
30,3,2,50,1,3
31,1,1,58,4,2
32,1,1,45,5,3
33,4,1,40,5,3
34,1,1,43,5,3
35,3,1,29,4,1
36,1,1,45,4,1
37,2,1,47,5,2
38,3,1,50,4,3
39,2,1,49,4,1
40,2,1,53,4,3
41,4,1,50,2,2
42,2,1,46,4,2
43,3,1,24,4,3
44,2,2,36,4,3
45,2,1,36,4,2
46,4,1,35,3,2
47,4,1,32,3,2
48,2,1,42,3,1
49,1,1,36,2,1
50,3,1,39,5,2
51,2,1,83,2,2
52,3,2,52,5,3
53,1,1,40,3,1
54,4,1,39,1,3
55,3,1,27,3,2
56,4,1,56,3,2
57,4,1,45,4,1
58,3,1,60,5,2
59,1,1,50,5,2
60,3,1,61,4,2
61,4,1,43,4,2
62,2,1,27,5,3
63,1,2,45,3,2
64,1,1,39,3,2
65,2,1,50,4,1
66,2,1,51,5,3
67,1,1,65,4,2
68,3,1,28,3,1
69,2,1,24,4,2
70,2,1,45,4,3
71,1,1,45,3,3
72,4,1,37,5,3
73,2,1,50,5,1
74,2,1,54,4,2
75,2,1,41,2,1
76,1,1,48,3,2
77,1,1,37,5,2
78,3,1,28,4,2
79,4,1,54,3,2
80,2,1,33,4,3
81,1,1,47,4,3
82,3,1,39,5,2
83,4,1,71,2,1
84,2,1,54,3,2
85,2,1,38,5,3
86,2,1,58,4,2
87,4,1,53,5,2
88,1,2,59,3,2
89,4,1,33,5,2
90,2,1,35,4,2
91,2,1,43,4,2
92,3,1,60,5,3
93,3,1,68,1,2
94,3,1,24,4,1
95,2,1,56,4,1
96,1,1,58,5,1
97,1,1,52,5,3
98,2,1,65,3,1
99,4,1,25,5,2
100,1,1,32,4,2
