Timestamp,Which major/department/program are you affiliated with?,Are you primarily a(n),What is your prior experience with programming and coding?,Have you used R before?
9/4/2020 10:04:18,Nuclear Policy,Graduate Student,2,Never
9/4/2020 15:41:52,"Biology, Bioinformatics",Undergraduate Student,1,Never
9/4/2020 20:07:16,GWSPH,Graduate Student,1,Took a LinkedIn Learning course 
9/7/2020 7:32:40,Engineering ,Graduate Student,2,Used for a work or school project
9/9/2020 8:01:11,MSc Public Health Microbiology and Emerging Infectious Diseases,Alumna/Alumnus,3,In a class/workshop
9/9/2020 10:58:20,Global Health Policy,Graduate Student,3,In a class/workshop
9/9/2020 11:21:43,Statistics,Graduate Student,3,In a class/workshop
9/9/2020 18:39:43,Data Science,Graduate Student,2,Never
9/9/2020 23:48:25,MIPP,Graduate Student,3,In a class/workshop
9/10/2020 9:48:25,GSEHD,Graduate Student,2,Never
9/10/2020 12:41:41,Elliott School of International Affairs,Graduate Student,1,Never
9/10/2020 13:02:14,MIPP,Graduate Student,2,Never
9/10/2020 22:40:51,GMBA,Graduate Student,2,Never
9/11/2020 13:30:10,MSBA,Graduate Student,1,Never
9/11/2020 19:25:07,BS Public Health and BS Economics,Graduate Student,2,Never
9/12/2020 16:37:39,Global Health Policy,Graduate Student,1,In a class/workshop
9/13/2020 15:49:15,Milken Institute,Graduate Student,1,Never
9/14/2020 13:55:35,Global Health Epidemiology and Disease Control,Alumna/Alumnus,1,Never
9/16/2020 18:18:09,Department of Epidemiology/PhD program,Graduate Student,3,Used for a work or school project
9/16/2020 23:54:14,Data Science,Graduate Student,1,Never
9/17/2020 16:21:37,Security Policy Studies,Graduate Student,4,Frequent use
9/19/2020 10:58:19,Security Policy Studies,Graduate Student,2,In a class/workshop
9/21/2020 20:01:03,Sociology,Graduate Student,3,In a class/workshop
9/22/2020 16:49:48,GWU MPH - online,Undergraduate Student,1,Never
9/22/2020 21:23:18,"Elliott School, MAIA",Undergraduate Student,2,In a class/workshop
9/25/2020 11:42:29,Global Health MPH,Graduate Student,1,Used for a work or school project
9/25/2020 12:08:47,CCAS Criminology ,Graduate Student,2,In a class/workshop
9/25/2020 12:17:22,IA and Econ,Graduate Student,2,Never
9/25/2020 13:04:23,MA International Affairs -- Econ Policy ,Graduate Student,2,In a class/workshop
9/25/2020 13:04:59,Sociology,Staff,2,Never
9/25/2020 13:06:51,GWSPH ,Graduate Student,2,Used for a work or school project
9/25/2020 13:10:14,Masters in Public Health ,Graduate Student,3,In a class/workshop
9/25/2020 13:11:01,"GSEHD, International Education Program",Graduate Student,2,Never
9/25/2020 13:19:16,biostatistic mph,Alumna/Alumnus,3,Used for a work or school project
9/25/2020 13:30:04,Security Policy Studies,Graduate Student,3,In a class/workshop
9/25/2020 13:44:13,Museum Studies,Graduate Student,3,In a class/workshop
9/25/2020 13:45:35,Biostatistics,Graduate Student,2,Never
9/25/2020 13:46:24,MAIA,Graduate Student,3,Used for a work or school project
9/25/2020 13:47:26,Epidemiology,Faculty,5,Used for a work or school project
9/25/2020 14:06:55,GWSB-MSIST,Graduate Student,3,In a class/workshop
9/25/2020 14:10:54,Epidemiology ,Faculty,5,In a class/workshop
9/25/2020 16:07:59,MSIST,Faculty,3,In a class/workshop
9/25/2020 19:27:32,MBA,Graduate Student,3,In a class/workshop
9/25/2020 21:00:21,SPH,Graduate Student,4,In a class/workshop
9/25/2020 21:09:55,Sociology,Alumna/Alumnus,2,In a class/workshop
9/25/2020 22:23:17,GSEHD - PhD in Education & Inequality,Graduate Student,2,Never
9/26/2020 9:27:34,SEAS,Graduate Student,2,In a class/workshop
9/26/2020 9:32:21,Epidemiology ,Graduate Student,1,Never
9/26/2020 11:05:05,Elliott School of International Affairs,Graduate Student,2,In a class/workshop
9/26/2020 16:42:40,ESIA,Graduate Student,3,In a class/workshop
9/28/2020 12:07:22,Double Major in Finance and Economic ,Graduate Student,2,Never
9/28/2020 12:24:55,Institute for Biomedical Sciences,Graduate Student,2,Never
9/28/2020 19:25:23,GW Global Health,Graduate Student,3,In a class/workshop
9/29/2020 9:27:40,Data Science,Undergraduate Student,1,In a class/workshop
9/29/2020 12:34:58,Sociology,Graduate Student,2,Never
9/29/2020 14:29:38,MS Finance,Graduate Student,2,Used for a work or school project
9/29/2020 14:42:02,epidemiology ,Graduate Student,1,In a class/workshop
9/29/2020 15:10:38,Elliot School MIPP,Undergraduate Student,2,Used for a work or school project
9/29/2020 20:37:39,Global Health Epidemiology/Global Health,Graduate Student,3,In a class/workshop
9/30/2020 17:24:51,"Milken School of Public Health, Dept of Epidemiology",Undergraduate Student,2,In a class/workshop
10/1/2020 12:44:53,Statistics,Graduate Student,3,Frequent use
